vix_warning_low,vix_warning_high,vix_risk_low,vix_risk_high,vix_crash_th,vix_extreme_th,panic_drop_pct,risk_warning_pos,panic_reversal_pos,risk_warning_confirm_days,risk_warning_gap_buy_pct,risk_repair_vix_th,risk_repair_gap_buy_pct,risk_on_gap_buy_pct,panic_gap_buy_pct,cagr,max_dd,calmar,vol,sharpe,total_turnover,annual_turnover,trade_count,avg_position,time_in_market,worst_year,recovery_days,total_ret,score
15,20,20,30,30,45,0.02,0.6,0.4,3,0.25,20,0.67,1.0,0.5,0.09867202456949276,-0.1281391942806487,0.7700378102376907,0.08866679644925332,1.1128407534827958,196.49769113229337,18.055542562533372,515,0.640670625014526,64.0670625014526,-0.06074017916094576,399,1.7846165667237255,0.2685521411401139
15,20,20,30,30,45,0.02,0.6,0.4,3,0.25,20,0.67,1.0,1.0,0.09866796256357424,-0.12813919428064888,0.7700061102887293,0.08873759431509107,1.1119071158636804,197.87269113229337,18.181886902156013,514,0.6409303081131176,64.09303081131176,-0.06310885060411442,399,1.7845045257531784,0.26473011100247296
15,20,20,30,30,45,0.02,0.6,0.4,3,0.2,20,0.67,1.0,0.5,0.09866438786410514,-0.12813919428064874,0.769978213285872,0.08859956985892009,1.1135989488573317,196.09895207576213,18.018903709603048,515,0.6403632561312754,64.03632561312754,-0.06074017916094576,399,1.7844059293824288,0.2695917097762049
15,20,20,30,30,45,0.02,0.6,0.4,3,0.2,20,0.67,1.0,1.0,0.09866309689424924,-0.12813919428064915,0.7699681385397065,0.08867044862713269,1.1126942337817252,197.48895207576214,18.146626351112484,514,0.6406255800749373,64.06255800749373,-0.06310885060411442,399,1.784370322988634,0.2657499557847554
15,20,20,30,30,45,0.02,0.6,0.4,3,0.33,20,0.67,1.0,0.5,0.09865272930292734,-0.1281391942806488,0.7698872297172357,0.08875873384994672,1.1114706691254426,197.05299939879126,18.106568057964406,515,0.6410845161149737,64.10845161149737,-0.06074017916094576,399,1.7840843882078814,0.26687079575672773
15,20,20,30,30,45,0.02,0.6,0.4,3,0.33,20,0.67,1.0,1.0,0.09864423403014344,-0.12813919428064893,0.7698209324938786,0.0888294128483551,1.1104906682040518,198.40399939879126,18.23070711456818,514,0.6413399738614526,64.13399738614525,-0.06310885060411442,399,1.7838501112376495,0.2630803268352571
15,20,20,30,30,45,0.02,0.6,0.4,2,0.2,20,0.67,1.0,0.5,0.09849829862953419,-0.12813919428064868,0.768682050659727,0.08863716676118323,1.111252787387936,196.72882007576214,18.07678025979173,526,0.6405614019059231,64.05614019059232,-0.06074017916094576,399,1.779828396307403,0.2665592506443995
15,20,20,30,30,45,0.02,0.6,0.4,3,0.25,20,0.5,1.0,0.5,0.09846430036476606,-0.12813919428064885,0.7684167277430416,0.088476746820818,1.1128833722172755,194.7632568359375,17.89617095832105,515,0.6395451704884918,63.95451704884918,-0.06074017916094576,399,1.778892223893799,0.2717122067718341
15,20,20,30,30,45,0.02,0.6,0.4,3,0.2,20,0.5,1.0,0.5,0.09846062290371194,-0.12813919428064882,0.7683880287873883,0.0884078339938993,1.1137092546629561,194.35593289999997,17.858743268358488,515,0.6392280028076056,63.92280028076056,-0.06074017916094576,399,1.7787909788990417,0.2728063385150578
15,20,20,30,30,45,0.02,0.6,0.4,3,0.25,20,0.5,1.0,1.0,0.09846023912684454,-0.12813919428064904,0.768385033787539,0.08854769666439048,1.1119457968514317,196.1382568359375,18.02251529794369,514,0.6398048535870834,63.980485358708336,-0.06310885060411442,399,1.7787804132461398,0.2678901826276519
15,20,20,30,30,45,0.02,0.6,0.4,2,0.2,20,0.67,1.0,1.0,0.09845997512220461,-0.12813919428064896,0.7683829734917696,0.08870644695149847,1.1099528670789738,198.05882007576213,18.198989693753994,525,0.6408131624693034,64.08131624693034,-0.06310885060411442,399,1.7787731450298931,0.2625938904575737
15,20,20,30,30,45,0.02,0.6,0.4,2,0.25,20,0.67,1.0,0.5,0.09845960613221583,-0.12813919428064852,0.7683800938889244,0.08871447007665034,1.1098483262893366,197.27340113229337,18.12682006630696,526,0.6409149401553711,64.09149401553711,-0.06074017916094576,399,1.7787629865289158,0.26475609967814034
15,20,20,30,30,45,0.02,0.6,0.4,3,0.2,20,0.5,1.0,1.0,0.09845933217328784,-0.12813919428064882,0.7683779559097544,0.08847886640372672,1.112800561029122,195.7459329,17.986465909867928,514,0.6394903267512676,63.94903267512676,-0.06310885060411442,399,1.7787554443080609,0.26896458639214066
15,20,20,30,30,45,0.02,0.6,0.4,3,0.33,20,0.5,1.0,0.5,0.0984422244030656,-0.12813919428064874,0.7682444466402588,0.0885706412895079,1.1114543484142876,195.32749215604787,17.94801673207459,515,0.6399706865234613,63.99706865234614,-0.06074017916094576,399,1.778284496003737,0.26998455245644554
15,20,20,30,30,45,0.02,0.6,0.4,3,0.33,20,0.5,1.0,1.0,0.09843373075799966,-0.12813919428064877,0.7681781621196354,0.08864147025453734,1.1104704206207712,196.67849215604792,18.072155788678366,514,0.6402261442699402,64.02261442699401,-0.06310885060411442,399,1.7780507070866647,0.2661940962377087
15,20,20,30,30,45,0.02,0.6,0.4,2,0.25,20,0.67,1.0,1.0,0.09840925827131874,-0.12813919428064904,0.7679871785035879,0.08878324754557126,1.1084214758060813,198.57340113229338,18.24627289649564,525,0.6411614190286106,64.11614190286106,-0.06310885060411442,399,1.7773771979299555,0.2607795993871424
